Unnamed: 0,item_number,description,category,item_link,minifigs_link,color_link,Name,Hair Type,Is_Fantasy_Color,Is_Natural_Color
223,3361,"Minifigure, Hair Female Long with Part over Right Shoulder, Curled Ends, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=3361,https://www.bricklink.com/catalogItemIn.asp?P=3361&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=3361#T=C,Yellow,Black-coded,True,True
441,3532,"Minifigure, Hair Female Short, Braided with Knot Bun","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=3532,https://www.bricklink.com/catalogItemIn.asp?P=3532&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=3532#T=C,Black,Black-coded,False,True
442,3532,"Minifigure, Hair Female Short, Braided with Knot Bun","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=3532,https://www.bricklink.com/catalogItemIn.asp?P=3532&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=3532#T=C,Dark Brown,Black-coded,False,True
670,35494,"Minifigure, Hair Mid-Length Wavy with Center Part and Sidelocks","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=35494,https://www.bricklink.com/catalogItemIn.asp?P=35494&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=35494#T=C,Black,Black-coded,False,True
671,35494,"Minifigure, Hair Mid-Length Wavy with Center Part and Sidelocks","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=35494,https://www.bricklink.com/catalogItemIn.asp?P=35494&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=35494#T=C,Dark Brown,Black-coded,False,True
672,35494,"Minifigure, Hair Mid-Length Wavy with Center Part and Sidelocks","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=35494,https://www.bricklink.com/catalogItemIn.asp?P=35494&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=35494#T=C,Dark Tan,Black-coded,False,True
638,3595,"Minifigure, Hair Male, Coiled with Smooth Sides","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=3595,https://www.bricklink.com/catalogItemIn.asp?P=3595&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=3595#T=C,Dark Brown,Black-coded,False,True
1036,3598,"Minifigure, Hair with Top Knot Bun and Bangs, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=3598,https://www.bricklink.com/catalogItemIn.asp?P=3598&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=3598#T=C,Black,Black-coded,False,True
1037,3598,"Minifigure, Hair with Top Knot Bun and Bangs, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=3598,https://www.bricklink.com/catalogItemIn.asp?P=3598&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=3598#T=C,Dark Brown,Black-coded,False,True
37,36060,"Minifigure, Hair Coiled and Short","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=36060,https://www.bricklink.com/catalogItemIn.asp?P=36060&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=36060#T=C,Black,Black-coded,False,True
